distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
0.76,0,94,58,0,254.52,44.98534742742777,-93.23374721221626,6091847648,254.48549107142858,-0.03450892857142662,2021-01-11T18:03:18Z
1.86,0.98,96,59,1,254.52,44.98534273356199,-93.23376095853746,6091847648,254.48995798319328,-0.030042016806731908,2021-01-11T18:03:19Z
6.58,2.127,97,59,3,254.53,44.985297387465835,-93.23377319611608,6091847648,254.49376984126985,-0.03623015873014879,2021-01-11T18:03:21Z
13.58,2.557,98,59,4,254.49,44.985238211229444,-93.23380613699555,6091847648,254.49635338345865,0.006353383458645112,2021-01-11T18:03:22Z
13.58,2.557,98,91,5,254.49,44.985238211229444,-93.23380613699555,6091847648,254.49867857142857,0.0086785714285611,2021-01-11T18:03:23Z
17.49,2.687,99,91,6,254.45,44.985203091055155,-93.23381678201258,6091847648,254.50071428571428,0.05071428571429237,2021-01-11T18:03:24Z
21.08,3.368,99,91,7,254.45,44.98517501167953,-93.23383932933211,6091847648,254.50295454545454,0.052954545454554136,2021-01-11T18:03:25Z
24.4,3.452,99,91,8,254.41,44.98514818958938,-93.23385776951908,6091847648,254.50524844720496,0.09524844720496617,2021-01-11T18:03:26Z
28.45,3.368,100,91,9,254.42,44.98511424288154,-93.23387646116316,6091847648,254.5078273809524,0.08782738095240461,2021-01-11T18:03:27Z
32.49,3.452,101,91,10,254.37,44.98507912270725,-93.23388987220824,6091847648,254.5102,0.140199999999993,2021-01-11T18:03:28Z
35.6,3.452,101,91,11,254.37,44.985050205141306,-93.23389791883528,6091847648,254.51266483516483,0.14266483516482253,2021-01-11T18:03:29Z
38.99,3.452,102,91,12,254.45,44.9850213713944,-93.23387847281992,6091847648,254.51484126984127,0.06484126984128125,2021-01-11T18:03:30Z
42.39,3.284,103,91,13,254.55,44.984999326989055,-93.23384729214013,6091847648,254.5166581632653,-0.033341836734706476,2021-01-11T18:03:31Z
46.11,3.275,104,91,14,254.57,44.984977785497904,-93.23381032794714,6091847648,254.5181527093596,-0.051847290640381516,2021-01-11T18:03:32Z
49.64,3.275,106,91,15,254.63,44.98495951294899,-93.23377302847804,6091847648,254.51926190476192,-0.11073809523807654,2021-01-11T18:03:33Z
53.13,3.303,106,91,16,254.57,44.98494207859039,-93.23373572900891,6091847648,254.52002304147464,-0.04997695852534889,2021-01-11T18:03:34Z
56.5,3.303,107,91,17,254.63,44.98492338694632,-93.23370169848204,6091847648,254.52073732718895,-0.10926267281104174,2021-01-11T18:03:35Z
59.82,3.284,109,91,18,254.5,44.98490234836936,-93.2336709368974,6091847648,254.52138248847928,0.021382488479275708,2021-01-11T18:03:36Z
63.08,3.266,110,91,19,254.56,44.984884494915605,-93.23363749310374,6091847648,254.52188940092165,-0.038110599078351015,2021-01-11T18:03:37Z
66.39,3.266,110,91,20,254.47,44.984869910404086,-93.2336006127298,6091847648,254.5220737327189,0.05207373271889537,2021-01-11T18:03:38Z
69.1,3.247,111,91,21,254.55,44.984857086092234,-93.23357010260224,6091847648,254.52230414746543,-0.027695852534577625,2021-01-11T18:03:39Z
71.96,3.219,113,91,22,254.52,44.984843255952,-93.2335388381034,6091847648,254.52253456221197,0.0025345622119630207,2021-01-11T18:03:40Z
75.58,3.154,114,91,23,254.57,44.98482716269791,-93.2334983535111,6091847648,254.52327188940092,-0.046728110599076444,2021-01-11T18:03:41Z
78.8,3.107,115,92,24,254.62,44.98481249436736,-93.23346281424163,6091847648,254.52414746543778,-0.09585253456222631,2021-01-11T18:03:42Z
81.88,3.107,116,92,25,254.56,44.98479506000877,-93.23343180119991,6091847648,254.52456221198156,-0.03543778801844155,2021-01-11T18:03:43Z
84.78,3.07,117,91,26,254.6,44.984780391678214,-93.23340078815818,6091847648,254.52405529953919,-0.07594470046080914,2021-01-11T18:03:44Z
87.79,3.051,118,91,27,254.55,44.98476589098573,-93.23336826637389,6091847648,254.52235023041476,-0.02764976958525267,2021-01-11T18:03:45Z
90.95,3.042,119,90,28,254.55,44.98475247994065,-93.23333247564732,6091847648,254.51912442396315,-0.03087557603686264,2021-01-11T18:03:46Z
94.11,3.032,119,90,29,254.57,44.98473756015301,-93.2332982774824,6091847648,254.51451612903227,-0.055483870967719895,2021-01-11T18:03:47Z
97.25,3.023,120,91,30,254.55,44.98472121544182,-93.23326542042196,6091847648,254.50811059907835,-0.04188940092166149,2021-01-11T18:03:48Z
100.72,3.023,120,91,31,254.58,44.98470394872129,-93.23322786949576,6091847648,254.50046082949308,-0.07953917050693349,2021-01-11T18:03:49Z
104.3,3.023,121,90,32,254.52,44.9846844188869,-93.2331909891218,6091847648,254.4916589861751,-0.02834101382489962,2021-01-11T18:03:50Z
107.59,3.032,122,90,33,254.54,44.98466564342379,-93.23315804824232,6091847648,254.48244239631336,-0.05755760368663232,2021-01-11T18:03:51Z
110.69,3.042,122,90,34,254.49,44.98464971780777,-93.233125442639,6091847648,254.47235023041475,-0.017649769585261765,2021-01-11T18:03:52Z
113.65,3.051,123,90,35,254.51,44.9846360553056,-93.23309317231178,6091847648,254.4615668202765,-0.04843317972350292,2021-01-11T18:03:53Z
116.65,3.051,123,91,36,254.52,44.98462188988924,-93.23306073434652,6091847648,254.44935483870967,-0.0706451612903436,2021-01-11T18:03:54Z
119.73,3.051,123,91,37,254.45,44.98460755683482,-93.23302703909576,6091847648,254.43539170506912,-0.01460829493086635,2021-01-11T18:03:55Z
122.96,3.051,123,91,38,254.46,44.98459473252296,-93.23298999108374,6091847648,254.41921658986175,-0.04078341013826048,2021-01-11T18:03:56Z
126.2,3.051,124,90,39,254.42,44.984580567106605,-93.23295403271914,6091847648,254.40023041474655,-0.0197695852534423,2021-01-11T18:03:57Z
129.33,3.051,124,89,40,254.44,44.98456212691963,-93.23292260058224,6091847648,254.37824884792627,-0.06175115207372528,2021-01-11T18:03:58Z
132.59,3.042,124,89,41,254.44,44.984546871855855,-93.23288689367472,6091847648,254.3536405529954,-0.08635944700461096,2021-01-11T18:03:59Z
136.33,3.051,124,89,42,254.42,44.98452642001211,-93.23284833692014,6091847648,254.3263133640553,-0.0936866359446924,2021-01-11T18:04:00Z
139.75,3.051,124,89,43,254.38,44.98450781218707,-93.2328125461936,6091847648,254.29663594470045,-0.0833640552995405,2021-01-11T18:04:01Z
143.27,3.07,124,90,44,254.35,44.984487695619464,-93.2327763363719,6091847648,254.26497695852535,-0.08502304147464201,2021-01-11T18:04:02Z
146.24,3.07,123,90,45,254.32,44.98447227291763,-93.23274498805404,6091847648,254.2310599078341,-0.08894009216589893,2021-01-11T18:04:03Z
149.8,3.079,122,90,46,254.31,44.98445274308324,-93.23270827531816,6091847648,254.19543778801844,-0.11456221198156413,2021-01-11T18:04:04Z
153,3.079,122,90,47,254.29,44.98443522490561,-93.23267583735289,6091847648,254.1583870967742,-0.13161290322580044,2021-01-11T18:04:05Z
156.31,3.088,121,91,48,254.31,44.98441711999476,-93.23264197446406,6091847648,254.12036866359446,-0.1896313364055402,2021-01-11T18:04:06Z
159.94,3.088,121,91,49,254.28,44.984400775283575,-93.23260182514788,6091847648,254.08087557603687,-0.19912442396312713,2021-01-11T18:04:07Z
163.45,3.088,122,91,50,254.24,44.98438350856304,-93.23256419040264,6091847648,254.04082949308756,-0.19917050691245208,2021-01-11T18:04:08Z
166.9,3.098,124,91,51,254.18,44.98436498455703,-93.23252890259027,6091847648,253.99976958525346,-0.18023041474654633,2021-01-11T18:04:09Z
170.11,3.116,124,90,52,254.11,44.98434838838875,-93.23249562643468,6091847648,253.95764976958526,-0.15235023041475415,2021-01-11T18:04:10Z
173.41,3.116,125,90,53,254.05,44.98433019965887,-93.23246243409812,6091847648,253.91502304147465,-0.13497695852535685,2021-01-11T18:04:11Z
176.54,3.116,125,90,54,253.98,44.98431460931897,-93.23242915794252,6091847648,253.87119815668203,-0.10880184331796272,2021-01-11T18:04:12Z
179.74,3.126,125,90,55,253.92,44.98430429957807,-93.2323912717402,6091847648,253.82700460829494,-0.09299539170504545,2021-01-11T18:04:13Z
182.85,3.126,125,90,56,253.86,44.984293822199106,-93.23235472664236,6091847648,253.7827188940092,-0.07728110599080651,2021-01-11T18:04:14Z
186.28,3.126,126,90,57,253.67,44.98427890241146,-93.23231658898294,6091847648,253.73806451612904,0.06806451612905562,2021-01-11T18:04:15Z
189.74,3.135,126,89,58,253.61,44.9842597078532,-93.23228121735156,6091847648,253.6926728110599,0.08267281105989355,2021-01-11T18:04:16Z
193.13,3.135,126,89,59,253.54,44.98424327932298,-93.23224492371082,6091847648,253.64599078341013,0.10599078341013524,2021-01-11T18:04:17Z
196.5,3.144,125,88,60,253.51,44.98422618024051,-93.23220938444138,6091847648,253.5973732718894,0.0873732718894189,2021-01-11T18:04:18Z
199.53,3.144,123,87,61,253.45,44.984209667891264,-93.23217845521869,6091847648,253.54815668202764,0.09815668202764982,2021-01-11T18:04:19Z
202.42,3.154,122,87,62,253.45,44.98419533483684,-93.23214802891016,6091847648,253.4968202764977,0.04682027649769793,2021-01-11T18:04:20Z
206.36,3.154,121,87,63,253.33,44.984174044802785,-93.23210779577494,6091847648,253.4431797235023,0.11317972350229866,2021-01-11T18:04:21Z
209.93,3.154,121,87,64,253.24,44.9841492343694,-93.23207527399065,6091847648,253.3868202764977,0.14682027649769225,2021-01-11T18:04:22Z
213.24,3.163,120,88,65,253.24,44.984127692878246,-93.23204384185374,6091847648,253.32903225806453,0.08903225806452042,2021-01-11T18:04:23Z
216.59,3.172,120,89,66,253.29,44.9840990267694,-93.23201961815356,6091847648,253.27147465437787,-0.018525345622123268,2021-01-11T18:04:24Z
219.65,3.172,119,89,67,253.14,44.984078239649534,-93.23199313133956,6091847648,253.21506912442396,0.07506912442397606,2021-01-11T18:04:25Z
222.71,3.182,119,89,68,253.23,44.9840575363487,-93.23196672834456,6091847648,253.16073732718894,-0.0692626728110497,2021-01-11T18:04:26Z
225.47,3.182,119,89,69,253.11,44.984044628217816,-93.2319367211312,6091847648,253.1089861751152,-0.0010138248848079456,2021-01-11T18:04:27Z
228.6,3.182,119,89,70,253,44.984028451144695,-93.23190386407076,6091847648,253.06225806451613,0.06225806451612925,2021-01-11T18:04:28Z
